CustomerID,Recency,Frequency,Monetary,AvgOrderValue,StdOrderValue,TotalTransactions,UniqueProducts,TotalQuantity,ActiveMonths,LifespanDays,FreqPerMonth,AvgInterPurchaseDays,R_Score,F_Score,M_Score,RFM_Score
14805,16.08,4,554.65,11.8,12.5,47,30,115,3,298.23,1.33,99.41,4,4,3,11
16441,68.02,2,381.2,15.88,7.09,24,22,173,2,224.01,1.0,224.01,3,2,2,7
13658,10.34,5,2639.17,24.44,19.87,108,91,1019,3,194.71,1.67,48.68,5,4,5,14
15921,173.3,1,336.03,13.44,17.26,25,24,166,1,0.0,1.0,53.46,2,1,2,5
14029,64.15,2,467.66,31.18,19.7,15,15,198,2,80.91,1.0,80.91,3,2,2,7
17370,73.34,4,446.18,13.52,5.1,33,31,540,2,96.93,2.0,32.31,2,4,2,8
14259,142.32,1,120.0,24.0,11.48,5,5,68,1,0.0,1.0,53.46,2,1,1,4
12936,18.03,4,1063.9,17.16,20.09,62,56,559,2,61.15,2.0,20.38,4,4,4,12
17595,13.09,2,388.79,4.68,4.85,83,68,229,1,24.99,2.0,24.99,5,2,2,9
18117,26.23,1,320.72,4.33,4.48,74,68,618,1,0.0,1.0,53.46,4,1,2,7
15758,25.31,1,205.25,22.81,7.72,9,9,47,1,0.0,1.0,53.46,4,1,1,6
17757,2.12,30,5605.29,7.56,12.44,741,275,3320,13,370.93,2.31,12.79,5,5,5,15
14543,29.23,16,3630.33,50.42,60.89,72,43,679,10,336.04,1.6,22.4,4,5,5,14
16499,361.2,2,365.45,19.23,7.32,19,18,127,1,4.13,2.0,4.13,1,2,2,5
14215,12.25,6,1789.72,16.57,6.05,108,98,1358,5,356.86,1.2,71.37,5,4,4,13
17135,17.06,7,1139.73,21.92,17.3,52,34,1224,4,355.3,1.75,59.22,4,5,4,13
15689,120.36,2,254.1,28.23,21.96,9,8,84,2,241.99,1.0,241.99,2,2,2,6
15894,254.19,2,263.55,6.43,12.21,41,35,168,2,115.99,1.0,115.99,1,2,2,5
15197,11.35,3,1079.61,33.74,73.3,32,30,469,3,347.67,1.0,173.84,5,3,4,12
15133,128.32,3,982.42,33.88,26.75,29,27,680,3,174.0,1.0,87.0,2,3,4,9
13659,206.24,2,1573.2,15.13,12.17,104,92,894,2,115.02,1.0,115.02,1,2,4,7
14562,4.3,18,5074.77,12.0,12.68,423,187,1834,9,300.85,2.0,17.7,5,5,5,15
13509,9.34,7,979.72,22.27,19.25,44,27,1106,6,275.86,1.17,45.98,5,5,4,14
14064,30.21,5,1353.74,16.92,36.86,80,59,1788,4,245.01,1.25,61.25,4,4,4,12
17061,74.29,11,5232.23,52.85,63.89,99,57,1526,6,158.91,1.83,15.89,2,5,5,12
14178,9.26,7,1620.93,4.96,6.09,327,191,1505,6,173.97,1.17,29.0,5,5,4,14
14067,64.33,2,374.7,7.21,5.99,52,51,361,2,32.93,1.0,32.93,3,2,2,7
17647,66.11,1,133.06,19.01,3.6,7,7,30,1,0.0,1.0,53.46,3,1,1,5
17201,54.27,1,342.63,8.57,14.22,40,38,268,1,0.0,1.0,53.46,3,1,2,6
17111,48.1,1,248.61,8.29,5.39,30,29,302,1,0.0,1.0,53.46,3,1,1,5
13832,20.11,1,52.2,17.4,2.4,3,3,28,1,0.0,1.0,53.46,4,1,1,6
13764,71.26,3,1521.76,7.32,4.29,208,183,932,3,266.88,1.0,133.44,3,3,4,10
12472,33.18,7,6572.11,19.39,15.53,339,219,4148,7,336.99,1.0,56.17,4,5,5,14
16145,9.32,11,3799.49,16.96,8.86,224,134,3123,10,351.06,1.1,35.11,5,5,5,15
16754,373.03,1,2002.4,1001.2,682.78,2,2,4280,1,0.0,1.0,53.46,1,1,4,6
17454,193.18,4,517.53,8.48,7.95,61,57,243,4,167.13,1.0,55.71,1,4,3,8
14329,18.1,7,5014.84,19.36,9.85,259,218,3095,6,312.09,1.17,52.01,4,5,5,14
13527,34.26,7,2287.51,10.26,6.78,223,153,1692,5,293.03,1.4,48.84,3,5,5,13
14779,281.23,3,386.15,9.42,9.34,41,40,84,2,43.03,1.5,21.52,1,3,2,6
12422,96.36,3,803.56,20.6,17.52,39,39,370,3,229.02,1.0,114.51,2,3,3,8
15569,104.34,5,1375.71,44.38,69.79,31,27,666,3,228.87,1.67,57.22,2,4,4,10
12402,324.19,1,225.6,20.51,7.23,11,11,94,1,0.0,1.0,53.46,1,1,1,3
14267,163.34,3,1516.24,27.57,16.64,55,25,530,2,97.94,1.5,48.97,2,3,4,9
15709,284.32,1,133.25,22.21,8.54,6,6,121,1,0.0,1.0,53.46,1,1,1,3
13035,74.39,2,921.88,34.14,25.23,27,23,644,2,186.98,1.0,186.98,2,2,3,7
14626,24.32,4,2791.27,22.88,18.95,122,108,1403,4,209.89,1.0,69.96,4,4,5,13
15198,93.15,2,193.64,19.36,9.78,10,10,120,2,31.98,1.0,31.98,2,2,1,5
17205,54.23,1,384.08,29.54,18.52,13,13,884,1,0.0,1.0,53.46,3,1,2,6
15312,76.22,4,924.85,19.68,12.88,47,42,516,4,279.01,1.0,93.0,2,4,3,9
14639,53.13,6,2984.49,17.35,5.81,172,138,1431,4,309.05,1.5,61.81,3,4,5,12
15799,76.23,3,884.14,9.02,7.77,98,94,955,3,258.9,1.0,129.45,2,3,3,8
14496,312.39,2,538.81,28.36,30.67,19,16,159,2,61.73,1.0,61.73,1,2,3,6
13656,165.33,2,379.65,7.75,6.76,49,49,490,2,172.78,1.0,172.78,2,2,2,6
14438,307.14,1,131.9,14.66,5.78,9,9,82,1,0.0,1.0,53.46,1,1,1,3
17334,303.14,2,307.02,27.91,18.25,11,11,315,1,6.25,2.0,6.25,1,2,2,5
14352,158.11,4,1078.96,22.96,11.37,47,44,538,3,116.03,1.33,38.68,2,4,4,10
12873,283.14,1,374.0,93.5,17.0,4,4,128,1,0.0,1.0,53.46,1,1,2,4
16007,48.3,4,1701.94,4.42,4.39,385,221,1393,3,167.9,1.33,55.97,3,4,4,11
16276,177.37,1,810.6,135.1,198.47,6,6,420,1,0.0,1.0,53.46,2,1,3,6
12390,80.37,1,549.84,17.18,7.17,32,32,353,1,0.0,1.0,53.46,2,1,3,6
16828,94.13,2,128.5,16.06,4.37,8,8,59,2,19.07,1.0,19.07,2,2,1,5
15652,92.17,1,337.74,16.08,10.88,21,21,208,1,0.0,1.0,53.46,2,1,2,5
13447,24.2,3,1129.14,19.14,10.47,59,55,584,1,12.14,3.0,6.07,4,3,4,11
15274,5.06,2,716.57,15.25,6.93,47,44,619,2,14.11,1.0,14.11,5,2,3,10
16596,16.35,2,250.15,20.85,9.23,12,12,97,2,350.74,1.0,350.74,4,2,1,7
17303,362.2,1,250.04,4.72,4.05,53,53,144,1,0.0,1.0,53.46,1,1,1,3
13798,2.1,57,37153.85,106.46,69.23,349,113,23948,13,370.94,4.38,6.62,5,5,5,15
16048,374.12,2,256.44,32.06,19.99,8,8,144,1,0.0,2.0,0.0,1,2,2,5
13787,76.26,2,309.04,9.97,7.12,31,24,337,2,288.89,1.0,288.89,2,2,2,6
15965,18.07,4,845.64,6.93,8.02,122,88,453,2,350.14,2.0,116.71,4,4,3,11
13317,67.2,6,2273.68,18.34,6.08,124,100,1035,4,292.18,1.5,58.44,3,4,5,12
17033,87.16,3,1030.14,36.79,52.21,28,24,750,3,273.05,1.0,136.53,2,3,4,9
14450,181.32,3,483.25,12.08,7.54,40,32,241,3,139.95,1.0,69.98,1,3,2,6
13533,183.27,3,270.79,3.56,2.18,76,61,204,2,84.96,1.5,42.48,1,3,2,6
15019,267.24,1,266.0,3.8,3.36,70,64,159,1,0.0,1.0,53.46,1,1,2,4
12881,276.28,1,298.0,42.57,67.25,7,7,21,1,0.0,1.0,53.46,1,1,2,4
15521,41.19,8,3000.2,16.22,26.02,185,116,1836,6,214.19,1.33,30.6,3,5,5,13
13695,32.16,15,2504.13,27.82,22.51,90,46,1603,9,228.12,1.67,16.29,4,5,5,14
14676,32.2,6,2548.24,60.67,38.26,42,29,2500,5,251.96,1.2,50.39,4,4,5,13
13226,274.16,1,108.21,6.76,4.15,16,16,80,1,0.0,1.0,53.46,1,1,1,3
15147,241.1,1,623.5,22.27,15.24,28,28,366,1,0.0,1.0,53.46,1,1,3,5
14005,10.24,5,2874.72,34.22,38.6,84,53,2478,5,206.09,1.0,51.52,5,4,5,14
14304,223.27,1,383.45,22.56,10.03,17,17,139,1,0.0,1.0,53.46,1,1,2,4
14883,19.33,6,761.59,14.37,7.39,53,39,790,5,193.02,1.2,38.6,4,5,3,12
17871,205.28,1,155.9,15.59,8.06,10,10,182,1,0.0,1.0,53.46,1,1,1,3
14972,129.14,1,114.77,6.38,5.16,18,18,28,1,0.0,1.0,53.46,2,1,1,4
13924,2.36,6,1838.85,15.72,7.3,117,90,1575,4,70.77,1.5,14.15,5,5,4,14
16361,10.24,4,896.66,8.46,6.97,106,87,421,3,61.97,1.33,20.66,5,4,3,12
15327,53.27,1,208.75,20.88,9.36,10,10,116,1,0.0,1.0,53.46,3,1,1,5
17986,57.17,1,20.8,20.8,0.0,1,1,10,1,0.0,1.0,53.46,3,1,1,5
17668,2.2,2,347.75,23.18,9.65,15,14,93,2,36.94,1.0,36.94,5,2,2,9
17100,19.07,2,971.74,14.95,4.54,65,65,800,1,0.0,2.0,0.0,4,2,4,10
12920,18.14,1,164.23,5.87,4.57,28,27,129,1,0.0,1.0,53.46,4,1,1,6
13732,29.1,1,491.86,14.9,5.49,33,33,498,1,0.0,1.0,53.46,4,1,3,8
13596,6.26,2,697.04,4.2,4.86,166,133,406,2,7.0,1.0,7.0,5,2,3,10
15773,6.23,1,635.68,63.57,149.41,10,10,311,1,0.0,1.0,53.46,5,1,3,9
14573,180.3,9,1653.42,7.04,6.87,235,127,544,5,192.64,1.8,24.08,1,5,4,10
14415,2.15,13,5900.28,10.0,6.72,590,283,3011,12,359.05,1.08,29.92,5,5,5,15
14794,3.34,7,1319.91,16.5,8.96,80,68,673,5,331.75,1.4,55.29,5,5,4,14
13487,58.26,3,575.4,16.92,4.48,34,26,265,3,295.88,1.0,147.94,3,3,3,9
16940,53.21,3,3049.88,10.0,6.68,305,226,2169,3,237.03,1.0,118.52,3,3,5,11
12970,8.16,4,452.24,2.99,3.35,151,116,310,2,315.02,2.0,105.01,5,4,2,11
13871,23.31,13,6403.25,19.06,9.39,336,155,2806,10,286.05,1.3,23.84,4,5,5,14
14442,205.28,2,1589.82,25.24,15.09,63,58,482,2,112.09,1.0,112.09,1,2,4,7
16948,139.23,3,435.02,22.9,15.69,19,15,1614,3,187.08,1.0,93.54,2,3,2,7
13166,284.13,1,417.2,10.18,7.05,41,39,216,1,0.0,1.0,53.46,1,1,2,4
17107,34.17,6,10815.43,25.87,36.42,418,269,4837,5,244.96,1.2,48.99,3,5,5,13
15838,12.18,19,33643.08,201.46,237.26,167,54,18368,10,356.11,1.9,19.78,5,5,5,15
16586,249.37,1,463.95,57.99,38.07,8,8,95,1,0.0,1.0,53.46,1,1,2,4
14353,216.09,1,90.6,15.1,5.87,6,6,64,1,0.0,1.0,53.46,1,1,1,3
12596,52.22,2,618.27,22.9,22.14,27,25,474,2,190.99,1.0,190.99,3,2,3,8
17984,146.1,1,152.68,3.18,3.45,48,48,98,1,0.0,1.0,53.46,2,1,1,4
13058,25.23,3,271.4,33.93,37.25,8,5,52,3,127.03,1.0,63.52,4,3,2,9
12697,29.4,3,957.59,23.36,17.55,41,37,508,3,140.71,1.0,70.36,4,3,4,11
14116,20.33,5,1382.74,19.2,11.23,72,61,707,4,101.91,1.25,25.48,4,4,4,12
15315,65.23,2,570.5,15.42,6.06,37,35,862,2,51.9,1.0,51.9,3,2,3,8
15571,12.35,4,650.43,11.41,18.32,57,47,264,2,66.87,2.0,22.29,5,4,3,12
13882,3.29,5,1191.13,18.33,9.96,65,54,953,3,61.83,1.67,15.46,5,4,4,13
16404,71.14,1,443.05,19.26,6.07,23,23,157,1,0.0,1.0,53.46,3,1,2,6
15185,71.18,1,310.62,14.79,15.75,21,21,666,1,0.0,1.0,53.46,3,1,2,6
15993,9.32,7,2797.57,5.07,4.94,552,335,2051,3,35.77,2.33,5.96,5,5,5,15
14158,41.13,1,507.66,12.38,6.02,41,41,781,1,0.0,1.0,53.46,3,1,3,7
17197,30.33,1,1013.01,34.93,26.55,29,29,191,1,0.0,1.0,53.46,4,1,4,9
12683,5.08,15,8476.57,24.64,25.06,344,177,4987,9,361.25,1.67,25.8,5,5,5,15
17179,179.06,3,711.79,8.9,9.8,80,56,290,3,183.1,1.0,91.55,2,3,3,8
14825,4.28,12,2226.91,18.4,12.45,121,82,991,10,364.96,1.2,33.18,5,5,5,15
14443,54.34,4,1420.2,15.27,4.66,93,84,938,4,314.96,1.0,104.99,3,4,4,11
17802,83.14,3,1285.04,9.18,10.27,140,102,752,3,290.05,1.0,145.03,2,3,4,9
17094,323.22,1,302.0,21.57,19.03,14,14,152,1,0.0,1.0,53.46,1,1,2,4
15579,69.23,2,348.6,6.84,4.76,51,45,120,2,245.03,1.0,245.03,3,2,2,7
18093,94.11,4,2106.52,58.51,39.48,36,31,1392,3,209.14,1.33,69.71,2,4,5,11
17667,67.16,5,2055.51,17.72,6.79,116,85,1033,4,232.21,1.25,58.05,3,4,4,11
14232,43.3,5,2048.07,17.81,9.15,115,81,1941,5,221.93,1.0,55.48,3,4,4,11
12878,237.22,2,854.99,18.19,6.62,47,38,547,2,29.96,1.0,29.96,1,2,3,6
17949,1.98,45,58510.48,835.86,799.8,70,29,30546,13,370.23,3.46,8.41,5,5,5,15
14152,76.23,2,621.29,12.68,6.88,49,47,711,2,158.88,1.0,158.88,2,2,3,7
18221,23.15,5,1041.61,16.28,6.45,64,59,791,5,189.02,1.0,47.26,4,4,4,12
17930,36.33,5,1740.48,44.63,51.22,39,26,1594,5,203.78,1.0,50.95,3,4,4,11
12809,178.31,1,489.31,19.57,14.57,25,25,220,1,0.0,1.0,53.46,2,1,2,5
14284,31.42,2,595.25,18.6,4.5,32,24,161,2,55.8,1.0,55.8,4,2,3,9
18192,72.35,1,957.97,21.29,15.04,45,45,339,1,0.0,1.0,53.46,2,1,4,7
13960,22.12,2,230.22,19.19,16.87,12,11,142,2,50.12,1.0,50.12,4,2,1,7
18096,12.23,3,911.15,4.28,4.65,213,157,825,2,52.03,1.5,26.02,5,3,3,11
13351,67.23,1,373.94,23.37,8.33,16,16,117,1,0.0,1.0,53.46,3,1,2,6
16243,34.24,2,409.1,8.02,11.78,51,49,110,2,21.02,1.0,21.02,3,2,2,7
13845,65.41,1,312.98,34.78,27.19,9,9,182,1,0.0,1.0,53.46,3,1,2,6
16127,40.18,1,656.25,16.41,6.07,40,40,323,1,0.0,1.0,53.46,3,1,3,7
17219,32.29,1,114.23,4.57,3.2,25,24,89,1,0.0,1.0,53.46,4,1,1,6
13926,24.21,1,223.85,20.35,11.63,11,11,104,1,0.0,1.0,53.46,4,1,1,6
18274,31.05,1,175.92,15.99,3.09,11,11,88,1,0.0,1.0,53.46,4,1,1,6
13521,2.19,3,1093.65,2.51,2.39,436,313,736,2,8.95,1.5,4.48,5,3,4,12
14578,4.04,1,168.63,7.03,6.04,24,24,240,1,0.0,1.0,53.46,5,1,1,7
17198,24.32,3,692.22,7.21,9.32,96,89,357,2,347.82,1.5,173.91,4,3,3,10
13230,5.1,14,2806.97,4.59,6.17,611,393,1665,9,360.86,1.56,27.76,5,5,5,15
13859,327.09,1,201.16,7.18,4.39,28,27,129,1,0.0,1.0,53.46,1,1,1,3
12559,311.35,2,561.71,26.75,24.54,21,21,283,2,8.98,1.0,8.98,1,2,3,6
16511,22.32,3,950.26,5.62,5.12,169,135,417,3,244.97,1.0,122.49,4,3,4,11
16063,261.14,1,335.32,14.58,2.91,23,23,262,1,0.0,1.0,53.46,1,1,2,4
15424,255.22,2,383.34,22.55,14.13,17,17,554,1,0.0,2.0,0.0,1,2,2,5
14851,24.17,2,511.35,18.26,11.56,28,28,325,2,232.97,1.0,232.97,4,2,3,9
15552,218.15,1,90.12,5.3,4.72,17,17,60,1,0.0,1.0,53.46,1,1,1,3
16644,178.24,2,833.78,13.45,4.06,62,62,826,2,34.99,1.0,34.99,2,2,3,7
17919,89.19,1,1304.04,56.7,48.64,23,23,756,1,0.0,1.0,53.46,2,1,4,7
17333,86.34,1,494.25,17.65,9.92,28,28,375,1,0.0,1.0,53.46,2,1,3,6
16591,69.32,1,213.5,21.35,30.85,10,10,41,1,0.0,1.0,53.46,3,1,1,5
15692,29.17,1,191.04,15.92,5.57,12,12,138,1,0.0,1.0,53.46,4,1,1,6
17502,10.21,4,689.1,24.61,9.33,28,25,376,1,19.86,4.0,6.62,5,4,3,12
16710,20.15,10,2483.04,6.18,5.48,402,268,1836,6,349.07,1.67,38.79,4,5,5,14
17969,167.22,2,228.2,16.3,19.7,14,14,152,2,194.89,1.0,194.89,2,2,1,5
17314,25.36,8,2527.92,19.3,11.84,131,120,1896,7,287.93,1.14,41.13,4,5,5,14
13802,139.31,3,4599.42,76.66,69.71,60,55,2572,3,172.95,1.0,86.48,2,3,5,10
12929,312.26,1,117.85,14.73,3.07,8,8,37,1,0.0,1.0,53.46,1,1,1,3
14297,18.38,4,1305.33,21.05,10.2,62,48,865,3,257.02,1.33,85.67,4,4,4,12
13185,268.27,1,71.4,71.4,0.0,1,1,12,1,0.0,1.0,53.46,1,1,1,3
17898,86.14,2,152.06,5.43,4.34,28,27,190,2,121.9,1.0,121.9,2,2,1,5
16813,9.18,10,1692.98,3.77,3.99,449,248,1525,7,196.02,1.43,21.78,5,5,4,14
17866,143.3,1,329.65,36.63,20.13,9,9,174,1,0.0,1.0,53.46,2,1,2,5
13075,130.33,1,919.61,41.8,24.03,22,22,485,1,0.0,1.0,53.46,2,1,3,6
12952,6.32,4,1387.79,17.57,5.73,79,64,653,3,72.75,1.33,24.25,5,4,4,13
16372,34.22,2,367.93,3.79,3.02,97,86,166,1,0.01,2.0,0.01,3,2,2,7
12448,45.19,1,449.45,20.43,19.12,22,22,243,1,0.0,1.0,53.46,3,1,2,6
13091,29.1,1,345.82,16.47,8.25,21,21,466,1,0.0,1.0,53.46,4,1,2,7
12558,8.32,1,269.96,24.54,22.01,11,11,196,1,0.0,1.0,53.46,5,1,2,8
17458,16.22,1,316.5,5.86,4.21,54,52,170,1,0.0,1.0,53.46,4,1,2,7
14804,9.29,1,353.27,29.44,18.16,12,12,121,1,0.0,1.0,53.46,5,1,2,8
13004,12.29,18,5655.91,14.0,5.67,404,277,4822,11,346.13,1.64,20.36,5,5,5,15
16735,79.27,5,2300.56,18.4,11.58,125,88,1573,3,255.96,1.67,63.99,2,4,5,11
15061,4.26,48,54534.14,135.32,233.34,403,70,28920,13,368.87,3.69,7.85,5,5,5,15
16425,303.16,1,302.7,14.41,4.93,21,21,199,1,0.0,1.0,53.46,1,1,2,4
17602,3.19,6,5102.97,9.11,13.85,560,335,4151,6,321.9,1.0,64.38,5,5,5,15
14798,53.31,3,173.74,14.48,6.97,12,11,150,3,257.81,1.0,128.91,3,3,1,7
13357,258.18,1,609.95,6.78,5.83,90,85,322,1,0.0,1.0,53.46,1,1,3,5
15104,197.24,2,1027.44,14.89,5.96,69,66,637,2,85.93,1.0,85.93,1,2,4,7
17438,254.33,1,388.45,22.85,8.58,17,17,103,1,0.0,1.0,53.46,1,1,2,4
12891,186.24,3,331.0,110.33,83.92,3,2,950,3,107.04,1.0,53.52,1,3,2,6
16961,117.19,1,234.17,16.73,3.75,14,14,125,1,0.0,1.0,53.46,2,1,1,4
16603,75.34,2,482.47,14.19,5.18,34,34,480,1,16.88,2.0,16.88,2,2,2,6
14251,2.41,5,2879.7,36.92,28.97,78,37,1674,3,55.82,1.67,13.96,5,4,5,14
13359,64.37,1,439.56,19.11,9.69,23,23,161,1,0.0,1.0,53.46,3,1,2,6
14528,38.05,1,364.22,20.23,13.12,18,18,278,1,0.0,1.0,53.46,3,1,2,6
12882,10.08,2,1463.04,112.54,61.75,13,12,246,1,24.21,2.0,24.21,5,2,4,11
17495,8.26,2,497.56,18.43,6.57,27,21,229,2,31.0,1.0,31.0,5,2,3,10
17371,18.2,3,423.89,4.87,7.5,87,83,152,2,343.92,1.5,171.96,4,3,2,9
12795,19.33,1,430.48,30.75,26.54,14,14,68,1,0.0,1.0,53.46,4,1,2,7
17816,37.28,4,36.56,2.15,1.31,17,16,30,4,328.89,1.0,109.63,3,4,1,8
13187,337.97,1,236.02,6.38,5.13,37,37,95,1,0.0,1.0,53.46,1,1,1,3
14748,29.99,5,1415.75,15.91,6.58,89,87,1223,4,339.34,1.25,84.84,4,4,4,12
15513,34.16,19,14758.22,47.92,47.74,308,183,5709,10,340.13,1.9,18.9,3,5,5,13
13183,8.33,9,3957.78,42.1,41.06,94,51,2208,8,326.99,1.13,40.87,5,5,5,15
14813,370.27,2,155.43,5.18,4.71,30,25,67,1,0.0,2.0,0.0,1,2,1,4
15240,45.35,5,1706.57,21.88,12.29,78,58,1369,5,267.06,1.0,66.77,3,4,4,11
17988,12.31,7,201.12,5.29,6.63,38,37,43,4,314.96,1.75,52.49,5,5,1,11
13292,39.34,2,578.94,18.68,6.88,31,29,347,2,245.79,1.0,245.79,3,2,3,8
16716,267.35,2,901.2,450.6,401.35,2,1,120,2,44.77,1.0,44.77,1,2,3,6
13571,13.31,12,2092.32,6.14,3.91,341,157,1759,9,240.92,1.33,21.9,5,5,5,15
16625,275.23,1,333.08,14.48,4.13,23,23,164,1,0.0,1.0,53.46,1,1,2,4
17966,38.33,5,1098.43,16.15,21.0,68,53,2571,4,223.71,1.25,55.93,3,4,4,11
17932,29.94,3,1331.57,14.8,4.31,90,84,789,3,182.24,1.0,91.12,4,3,4,11
15265,152.15,2,1506.12,18.37,7.42,82,76,612,2,84.1,1.0,84.1,2,2,4,8
17217,235.04,1,113.5,12.61,20.43,9,9,24,1,0.0,1.0,53.46,1,1,1,3
16818,11.32,11,3349.57,17.82,8.48,188,172,2164,6,194.96,1.83,19.5,5,5,5,15
17155,18.24,2,251.7,12.58,19.88,20,19,242,2,160.09,1.0,160.09,4,2,2,8
12493,166.34,2,433.74,19.72,5.78,22,20,207,2,31.81,1.0,31.81,2,2,2,6
18072,186.32,1,247.44,13.75,10.21,18,18,288,1,0.0,1.0,53.46,1,1,1,3
17234,183.29,1,149.89,10.71,8.79,14,14,55,1,0.0,1.0,53.46,1,1,1,3
16342,76.16,4,322.41,21.49,9.93,15,10,157,4,104.18,1.0,34.73,2,4,2,8
16989,8.07,6,1133.25,94.44,47.81,12,7,1233,5,143.31,1.2,28.66,5,5,4,14
12743,135.08,2,546.43,4.08,3.55,134,114,319,1,0.01,2.0,0.01,2,2,3,7
15116,18.25,4,1352.75,30.06,28.53,45,37,648,4,187.15,1.0,62.38,4,4,4,12
15829,100.07,2,636.14,12.47,6.68,51,44,996,2,41.27,1.0,41.27,2,2,3,7
13023,65.08,2,689.9,17.25,7.78,40,36,286,2,65.29,1.0,65.29,3,2,3,8
16761,97.3,1,316.62,24.36,15.18,13,13,341,1,0.0,1.0,53.46,2,1,2,5
14420,100.01,1,387.52,13.36,5.03,29,29,334,1,0.0,1.0,53.46,2,1,2,5
13200,20.11,4,870.09,18.92,13.46,46,42,516,3,107.03,1.33,35.68,4,4,3,11
13127,78.33,1,259.17,17.28,6.87,15,15,127,1,0.0,1.0,53.46,2,1,2,5
16900,17.33,3,887.11,11.23,7.28,79,78,833,2,46.89,1.5,23.45,4,3,3,10
16366,19.42,1,327.3,18.18,7.86,18,18,256,1,0.0,1.0,53.46,4,1,2,7
17976,373.19,1,353.19,5.43,5.99,65,56,106,1,0.0,1.0,53.46,1,1,2,4
15823,373.13,1,15.0,15.0,0.0,1,1,1,1,0.0,1.0,53.46,1,1,1,3
16016,4.16,8,1508.76,6.42,5.68,235,156,620,6,363.08,1.33,51.87,5,5,4,14
17850,373.12,34,5391.21,18.15,12.73,297,21,1733,1,1.29,34.0,0.04,1,5,5,11
14047,9.28,5,1308.61,40.89,43.92,32,22,381,5,364.07,1.0,91.02,5,4,4,13
14560,8.12,22,2237.77,30.24,27.5,74,39,1260,12,350.25,1.83,16.68,5,5,5,15
15046,10.1,15,5213.77,25.31,33.29,206,147,3451,9,329.01,1.67,23.5,5,5,5,15
14701,11.24,9,2549.37,7.61,19.13,335,268,932,6,306.0,1.5,38.25,5,5,5,15
13421,41.17,2,1851.08,17.8,15.35,104,88,1181,2,249.94,1.0,249.94,3,2,4,9
17018,41.28,2,920.1,57.51,21.23,16,15,176,2,285.12,1.0,285.12,3,2,3,8
15724,202.15,2,218.25,19.84,8.56,11,11,73,2,83.17,1.0,83.17,1,2,1,4
14512,188.24,2,275.28,11.97,8.02,23,19,122,2,44.73,1.0,44.73,1,2,2,5
18281,181.31,1,80.82,11.55,6.11,7,7,54,1,0.0,1.0,53.46,1,1,1,3
