CustomerID,Recency,Frequency,Monetary,AvgOrderValue,StdOrderValue,TotalTransactions,UniqueProducts,TotalQuantity,ActiveMonths,LifespanDays,FreqPerMonth,AvgInterPurchaseDays,R_Score,F_Score,M_Score,RFM_Score,CLV_Target,Churned,churn_prob,Cluster,Segment
18147,46.27,2,179.34,25.62,10.08,7,7,203,2,62.98,1.0,62.98,3,2,1,6,80.46,0,0.0549839274250093,1,Lost Cheap
16742,47.26,1,464.9,464.9,0.0,1,1,1,1,0.0,1.0,53.46,3,1,2,6,464.9,0,0.07560366676433113,1,Lost Cheap
13460,30.04,2,183.44,10.79,3.43,17,16,286,2,20.31,1.0,20.31,4,2,1,7,183.44,0,0.051852010977574414,1,Lost Cheap
15432,24.08,1,171.19,17.12,6.42,10,10,65,1,0.0,1.0,53.46,4,1,1,6,171.19,0,0.025118348738047462,1,Lost Cheap
13638,16.32,1,122.64,15.33,5.04,8,8,93,1,0.0,1.0,53.46,4,1,1,6,122.64,0,0.025153206542439355,1,Lost Cheap
16597,5.11,1,90.04,12.86,8.54,7,7,184,1,0.0,1.0,53.46,5,1,1,7,90.04,0,0.012741785610884014,1,Lost Cheap
16781,373.16,1,311.25,18.31,5.51,17,17,113,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9794423410259934,0,Promising
13240,97.18,4,663.65,9.91,6.15,67,59,298,4,269.05,1.0,89.68,2,4,3,9,0.0,1,0.6892012156349067,1,Lost Cheap
12967,358.97,2,1660.9,87.42,58.15,19,19,438,1,13.39,2.0,13.39,1,2,4,7,0.0,1,0.874088049221647,0,Promising
15221,367.22,1,403.25,80.65,18.74,5,5,43,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9671535063372307,0,Promising
14805,16.08,4,554.65,11.8,12.5,47,30,115,3,298.23,1.33,99.41,4,4,3,11,445.4,0,0.0026845347954350183,1,Lost Cheap
16441,68.02,2,381.2,15.88,7.09,24,22,173,2,224.01,1.0,224.01,3,2,2,7,170.2,0,0.031218811883880024,1,Lost Cheap
13658,10.34,5,2639.17,24.44,19.87,108,91,1019,3,194.71,1.67,48.68,5,4,5,14,1705.87,0,0.013682688907125175,1,Lost Cheap
15921,173.3,1,336.03,13.44,17.26,25,24,166,1,0.0,1.0,53.46,2,1,2,5,0.0,1,0.816583700468589,0,Promising
14029,64.15,2,467.66,31.18,19.7,15,15,198,2,80.91,1.0,80.91,3,2,2,7,302.46,0,0.07614085474955413,1,Lost Cheap
17370,73.34,4,446.18,13.52,5.1,33,31,540,2,96.93,2.0,32.31,2,4,2,8,335.48,0,0.7574126703799575,1,Lost Cheap
14259,142.32,1,120.0,24.0,11.48,5,5,68,1,0.0,1.0,53.46,2,1,1,4,0.0,1,0.881508869886254,1,Lost Cheap
12936,18.03,4,1063.9,17.16,20.09,62,56,559,2,61.15,2.0,20.38,4,4,4,12,1063.9,0,0.011844879819832817,1,Lost Cheap
17595,13.09,2,388.79,4.68,4.85,83,68,229,1,24.99,2.0,24.99,5,2,2,9,388.79,0,0.018544685921829798,1,Lost Cheap
18117,26.23,1,320.72,4.33,4.48,74,68,618,1,0.0,1.0,53.46,4,1,2,7,320.72,0,0.03217549861832761,1,Lost Cheap
15758,25.31,1,205.25,22.81,7.72,9,9,47,1,0.0,1.0,53.46,4,1,1,6,205.25,0,0.024686541560163793,1,Lost Cheap
17757,2.12,30,5605.29,7.56,12.44,741,275,3320,13,370.93,2.31,12.79,5,5,5,15,2284.84,0,0.0,4,At-Risk
14543,29.23,16,3630.33,50.42,60.89,72,43,679,10,336.04,1.6,22.4,4,5,5,14,365.23,0,0.002033869509952169,4,At-Risk
16499,361.2,2,365.45,19.23,7.32,19,18,127,1,4.13,2.0,4.13,1,2,2,5,0.0,1,0.9727302987542567,0,Promising
14215,12.25,6,1789.72,16.57,6.05,108,98,1358,5,356.86,1.2,71.37,5,4,4,13,691.45,0,0.0020213125293813343,1,Lost Cheap
17135,17.06,7,1139.73,21.92,17.3,52,34,1224,4,355.3,1.75,59.22,4,5,4,13,639.18,0,0.000936873730816605,1,Lost Cheap
15689,120.36,2,254.1,28.23,21.96,9,8,84,2,241.99,1.0,241.99,2,2,2,6,0.0,1,0.7604659043925335,1,Lost Cheap
15894,254.19,2,263.55,6.43,12.21,41,35,168,2,115.99,1.0,115.99,1,2,2,5,0.0,1,0.9389167693986777,0,Promising
15197,11.35,3,1079.61,33.74,73.3,32,30,469,3,347.67,1.0,173.84,5,3,4,12,306.36,0,0.008618292385566747,1,Lost Cheap
15133,128.32,3,982.42,33.88,26.75,29,27,680,3,174.0,1.0,87.0,2,3,4,9,0.0,1,0.6804262331319214,1,Lost Cheap
13659,206.24,2,1573.2,15.13,12.17,104,92,894,2,115.02,1.0,115.02,1,2,4,7,0.0,1,0.8762972352134386,0,Promising
14562,4.3,18,5074.77,12.0,12.68,423,187,1834,9,300.85,2.0,17.7,5,5,5,15,3089.42,0,0.0,4,At-Risk
13509,9.34,7,979.72,22.27,19.25,44,27,1106,6,275.86,1.17,45.98,5,5,4,14,274.7,0,0.0009950022311468094,1,Lost Cheap
14064,30.21,5,1353.74,16.92,36.86,80,59,1788,4,245.01,1.25,61.25,4,4,4,12,256.06,0,0.0113422877172924,1,Lost Cheap
17061,74.29,11,5232.23,52.85,63.89,99,57,1526,6,158.91,1.83,15.89,2,5,5,12,573.4,0,0.5045221479967944,1,Lost Cheap
14178,9.26,7,1620.93,4.96,6.09,327,191,1505,6,173.97,1.17,29.0,5,5,4,14,1127.57,0,0.011844703991754435,1,Lost Cheap
14067,64.33,2,374.7,7.21,5.99,52,51,361,2,32.93,1.0,32.93,3,2,2,7,150.03,0,0.07417817925761443,1,Lost Cheap
17647,66.11,1,133.06,19.01,3.6,7,7,30,1,0.0,1.0,53.46,3,1,1,5,133.06,0,0.09229033889226035,1,Lost Cheap
17201,54.27,1,342.63,8.57,14.22,40,38,268,1,0.0,1.0,53.46,3,1,2,6,342.63,0,0.05403920569387182,1,Lost Cheap
17111,48.1,1,248.61,8.29,5.39,30,29,302,1,0.0,1.0,53.46,3,1,1,5,248.61,0,0.08459382863203474,1,Lost Cheap
13832,20.11,1,52.2,17.4,2.4,3,3,28,1,0.0,1.0,53.46,4,1,1,6,52.199999999999996,0,0.028220212000896396,1,Lost Cheap
13764,71.26,3,1521.76,7.32,4.29,208,183,932,3,266.88,1.0,133.44,3,3,4,10,576.13,0,0.03124877740621581,1,Lost Cheap
12472,33.18,7,6572.11,19.39,15.53,339,219,4148,7,336.99,1.0,56.17,4,5,5,14,1644.51,0,0.0005055210489993098,1,Lost Cheap
16145,9.32,11,3799.49,16.96,8.86,224,134,3123,10,351.06,1.1,35.11,5,5,5,15,1199.18,0,0.0,1,Lost Cheap
16754,373.03,1,2002.4,1001.2,682.78,2,2,4280,1,0.0,1.0,53.46,1,1,4,6,0.0,1,0.8804596229193148,0,Promising
17454,193.18,4,517.53,8.48,7.95,61,57,243,4,167.13,1.0,55.71,1,4,3,8,0.0,1,0.8584438271905533,0,Promising
14329,18.1,7,5014.84,19.36,9.85,259,218,3095,6,312.09,1.17,52.01,4,5,5,14,1529.81,0,0.00011904761904761905,1,Lost Cheap
13527,34.26,7,2287.51,10.26,6.78,223,153,1692,5,293.03,1.4,48.84,3,5,5,13,921.09,0,0.00022764227642276425,1,Lost Cheap
14779,281.23,3,386.15,9.42,9.34,41,40,84,2,43.03,1.5,21.52,1,3,2,6,0.0,1,0.9303850865593395,0,Promising
12422,96.36,3,803.56,20.6,17.52,39,39,370,3,229.02,1.0,114.51,2,3,3,8,0.0,1,0.623121675337893,1,Lost Cheap
15569,104.34,5,1375.71,44.38,69.79,31,27,666,3,228.87,1.67,57.22,2,4,4,10,0.0,1,0.7611015576909168,1,Lost Cheap
12402,324.19,1,225.6,20.51,7.23,11,11,94,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9704340478876773,0,Promising
14267,163.34,3,1516.24,27.57,16.64,55,25,530,2,97.94,1.5,48.97,2,3,4,9,0.0,1,0.7256959382150113,0,Promising
15709,284.32,1,133.25,22.21,8.54,6,6,121,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9751378198097518,0,Promising
13035,74.39,2,921.88,34.14,25.23,27,23,644,2,186.98,1.0,186.98,2,2,3,7,588.88,0,0.5805958605975219,1,Lost Cheap
14626,24.32,4,2791.27,22.88,18.95,122,108,1403,4,209.89,1.0,69.96,4,4,5,13,1219.98,0,0.011769518464817408,1,Lost Cheap
15198,93.15,2,193.64,19.36,9.78,10,10,120,2,31.98,1.0,31.98,2,2,1,5,86.0,1,0.877187525321159,1,Lost Cheap
17205,54.23,1,384.08,29.54,18.52,13,13,884,1,0.0,1.0,53.46,3,1,2,6,384.08,0,0.04947564393364967,1,Lost Cheap
15312,76.22,4,924.85,19.68,12.88,47,42,516,4,279.01,1.0,93.0,2,4,3,9,130.05,0,0.24900027161502133,1,Lost Cheap
14639,53.13,6,2984.49,17.35,5.81,172,138,1431,4,309.05,1.5,61.81,3,4,5,12,995.26,0,0.012597122462177934,1,Lost Cheap
15799,76.23,3,884.14,9.02,7.77,98,94,955,3,258.9,1.0,129.45,2,3,3,8,402.90000000000003,0,0.4019269724406476,1,Lost Cheap
14496,312.39,2,538.81,28.36,30.67,19,16,159,2,61.73,1.0,61.73,1,2,3,6,0.0,1,0.9140601993529933,0,Promising
13656,165.33,2,379.65,7.75,6.76,49,49,490,2,172.78,1.0,172.78,2,2,2,6,0.0,1,0.7448770358529192,0,Promising
14438,307.14,1,131.9,14.66,5.78,9,9,82,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9779795878220038,0,Promising
17334,303.14,2,307.02,27.91,18.25,11,11,315,1,6.25,2.0,6.25,1,2,2,5,0.0,1,0.9555701946344882,0,Promising
14352,158.11,4,1078.96,22.96,11.37,47,44,538,3,116.03,1.33,38.68,2,4,4,10,0.0,1,0.7531758042356157,0,Promising
12873,283.14,1,374.0,93.5,17.0,4,4,128,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9576078291375835,0,Promising
16007,48.3,4,1701.94,4.42,4.39,385,221,1393,3,167.9,1.33,55.97,3,4,4,11,968.49,0,0.016489265482414105,1,Lost Cheap
16276,177.37,1,810.6,135.1,198.47,6,6,420,1,0.0,1.0,53.46,2,1,3,6,0.0,1,0.6427508411706182,0,Promising
12390,80.37,1,549.84,17.18,7.17,32,32,353,1,0.0,1.0,53.46,2,1,3,6,549.84,0,0.5847879415389267,1,Lost Cheap
16828,94.13,2,128.5,16.06,4.37,8,8,59,2,19.07,1.0,19.07,2,2,1,5,15.0,1,0.8864416711739109,1,Lost Cheap
15652,92.17,1,337.74,16.08,10.88,21,21,208,1,0.0,1.0,53.46,2,1,2,5,337.74,1,0.8020058346916599,1,Lost Cheap
13447,24.2,3,1129.14,19.14,10.47,59,55,584,1,12.14,3.0,6.07,4,3,4,11,1129.14,0,0.016366157519378952,1,Lost Cheap
15274,5.06,2,716.57,15.25,6.93,47,44,619,2,14.11,1.0,14.11,5,2,3,10,716.57,0,0.030313040902497465,1,Lost Cheap
16596,16.35,2,250.15,20.85,9.23,12,12,97,2,350.74,1.0,350.74,4,2,1,7,129.5,0,0.009836937997709549,1,Lost Cheap
17303,362.2,1,250.04,4.72,4.05,53,53,144,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9405971802785431,0,Promising
13798,2.1,57,37153.85,106.46,69.23,349,113,23948,13,370.94,4.38,6.62,5,5,5,15,9087.61,0,0.0,4,At-Risk
16048,374.12,2,256.44,32.06,19.99,8,8,144,1,0.0,2.0,0.0,1,2,2,5,0.0,1,0.9598718423482668,0,Promising
13787,76.26,2,309.04,9.97,7.12,31,24,337,2,288.89,1.0,288.89,2,2,2,6,202.64000000000001,0,0.25975230806242566,1,Lost Cheap
15965,18.07,4,845.64,6.93,8.02,122,88,453,2,350.14,2.0,116.71,4,4,3,11,689.45,0,0.0002717239597669961,1,Lost Cheap
13317,67.2,6,2273.68,18.34,6.08,124,100,1035,4,292.18,1.5,58.44,3,4,5,12,959.7,0,0.004042688499691049,1,Lost Cheap
17033,87.16,3,1030.14,36.79,52.21,28,24,750,3,273.05,1.0,136.53,2,3,4,9,422.04,0,0.30493462623668427,1,Lost Cheap
14450,181.32,3,483.25,12.08,7.54,40,32,241,3,139.95,1.0,69.98,1,3,2,6,0.0,1,0.8898196618784203,0,Promising
13533,183.27,3,270.79,3.56,2.18,76,61,204,2,84.96,1.5,42.48,1,3,2,6,0.0,1,0.8769322887347621,0,Promising
15019,267.24,1,266.0,3.8,3.36,70,64,159,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9492537231490376,0,Promising
12881,276.28,1,298.0,42.57,67.25,7,7,21,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9452830674084431,0,Promising
15521,41.19,8,3000.2,16.22,26.02,185,116,1836,6,214.19,1.33,30.6,3,5,5,13,673.42,0,0.011233324744039031,1,Lost Cheap
13695,32.16,15,2504.13,27.82,22.51,90,46,1603,9,228.12,1.67,16.29,4,5,5,14,737.0600000000001,0,0.011143282330312405,4,At-Risk
14676,32.2,6,2548.24,60.67,38.26,42,29,2500,5,251.96,1.2,50.39,4,4,5,13,857.32,0,0.004194219885911137,1,Lost Cheap
13226,274.16,1,108.21,6.76,4.15,16,16,80,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.981635332151895,0,Promising
15147,241.1,1,623.5,22.27,15.24,28,28,366,1,0.0,1.0,53.46,1,1,3,5,0.0,1,0.9347549976408237,0,Promising
14005,10.24,5,2874.72,34.22,38.6,84,53,2478,5,206.09,1.0,51.52,5,4,5,14,2178.16,0,0.007638717601922873,1,Lost Cheap
14304,223.27,1,383.45,22.56,10.03,17,17,139,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9834430275466489,0,Promising
14883,19.33,6,761.59,14.37,7.39,53,39,790,5,193.02,1.2,38.6,4,5,3,12,403.11,0,0.030594063580503702,1,Lost Cheap
17871,205.28,1,155.9,15.59,8.06,10,10,182,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.956123731953416,0,Promising
14972,129.14,1,114.77,6.38,5.16,18,18,28,1,0.0,1.0,53.46,2,1,1,4,0.0,1,0.9413260265962582,1,Lost Cheap
13924,2.36,6,1838.85,15.72,7.3,117,90,1575,4,70.77,1.5,14.15,5,5,4,14,1838.8500000000001,0,0.007600991071781328,1,Lost Cheap
16361,10.24,4,896.66,8.46,6.97,106,87,421,3,61.97,1.33,20.66,5,4,3,12,896.66,0,0.011417923858260952,1,Lost Cheap
15327,53.27,1,208.75,20.88,9.36,10,10,116,1,0.0,1.0,53.46,3,1,1,5,208.75,0,0.06964966755513992,1,Lost Cheap
17986,57.17,1,20.8,20.8,0.0,1,1,10,1,0.0,1.0,53.46,3,1,1,5,20.8,0,0.07027090288457556,1,Lost Cheap
17668,2.2,2,347.75,23.18,9.65,15,14,93,2,36.94,1.0,36.94,5,2,2,9,347.75,0,0.06022969483144523,1,Lost Cheap
17100,19.07,2,971.74,14.95,4.54,65,65,800,1,0.0,2.0,0.0,4,2,4,10,971.74,0,0.03669370266840485,1,Lost Cheap
12920,18.14,1,164.23,5.87,4.57,28,27,129,1,0.0,1.0,53.46,4,1,1,6,164.23,0,0.021860295347233834,1,Lost Cheap
13732,29.1,1,491.86,14.9,5.49,33,33,498,1,0.0,1.0,53.46,4,1,3,8,491.86,0,0.045257146542651096,1,Lost Cheap
13596,6.26,2,697.04,4.2,4.86,166,133,406,2,7.0,1.0,7.0,5,2,3,10,697.04,0,0.013811909711259467,1,Lost Cheap
15773,6.23,1,635.68,63.57,149.41,10,10,311,1,0.0,1.0,53.46,5,1,3,9,635.6800000000001,0,0.053692656567737265,1,Lost Cheap
14573,180.3,9,1653.42,7.04,6.87,235,127,544,5,192.64,1.8,24.08,1,5,4,10,0.0,1,0.7998192280626106,0,Promising
14415,2.15,13,5900.28,10.0,6.72,590,283,3011,12,359.05,1.08,29.92,5,5,5,15,2098.6,0,0.0,4,At-Risk
14794,3.34,7,1319.91,16.5,8.96,80,68,673,5,331.75,1.4,55.29,5,5,4,14,640.37,0,0.0003925925925925926,1,Lost Cheap
13487,58.26,3,575.4,16.92,4.48,34,26,265,3,295.88,1.0,147.94,3,3,3,9,166.6,0,0.009321099423623093,1,Lost Cheap
16940,53.21,3,3049.88,10.0,6.68,305,226,2169,3,237.03,1.0,118.52,3,3,5,11,1181.52,0,0.04312101215332576,1,Lost Cheap
12970,8.16,4,452.24,2.99,3.35,151,116,310,2,315.02,2.0,105.01,5,4,2,11,428.44,0,0.0052407642074450145,1,Lost Cheap
13871,23.31,13,6403.25,19.06,9.39,336,155,2806,10,286.05,1.3,23.84,4,5,5,14,2329.01,0,0.0,4,At-Risk
14442,205.28,2,1589.82,25.24,15.09,63,58,482,2,112.09,1.0,112.09,1,2,4,7,0.0,1,0.8980432079752579,0,Promising
16948,139.23,3,435.02,22.9,15.69,19,15,1614,3,187.08,1.0,93.54,2,3,2,7,0.0,1,0.7557189488901993,1,Lost Cheap
13166,284.13,1,417.2,10.18,7.05,41,39,216,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9502512350949958,0,Promising
17107,34.17,6,10815.43,25.87,36.42,418,269,4837,5,244.96,1.2,48.99,3,5,5,13,4481.37,0,0.0051835704721081574,1,Lost Cheap
15838,12.18,19,33643.08,201.46,237.26,167,54,18368,10,356.11,1.9,19.78,5,5,5,15,19489.58,0,0.0007692307692307692,4,At-Risk
16586,249.37,1,463.95,57.99,38.07,8,8,95,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.956309072293774,0,Promising
14353,216.09,1,90.6,15.1,5.87,6,6,64,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9748202214705082,0,Promising
12596,52.22,2,618.27,22.9,22.14,27,25,474,2,190.99,1.0,190.99,3,2,3,8,348.32,0,0.06235676597566116,1,Lost Cheap
17984,146.1,1,152.68,3.18,3.45,48,48,98,1,0.0,1.0,53.46,2,1,1,4,0.0,1,0.8780239342363741,0,Promising
13058,25.23,3,271.4,33.93,37.25,8,5,52,3,127.03,1.0,63.52,4,3,2,9,223.85,0,0.053383952106519,1,Lost Cheap
12697,29.4,3,957.59,23.36,17.55,41,37,508,3,140.71,1.0,70.36,4,3,4,11,223.68,0,0.024891142960622035,1,Lost Cheap
14116,20.33,5,1382.74,19.2,11.23,72,61,707,4,101.91,1.25,25.48,4,4,4,12,1062.77,0,0.015558891572407705,1,Lost Cheap
15315,65.23,2,570.5,15.42,6.06,37,35,862,2,51.9,1.0,51.9,3,2,3,8,336.96,0,0.07903896922607094,1,Lost Cheap
15571,12.35,4,650.43,11.41,18.32,57,47,264,2,66.87,2.0,22.29,5,4,3,12,650.4300000000001,0,0.010724974568025715,1,Lost Cheap
13882,3.29,5,1191.13,18.33,9.96,65,54,953,3,61.83,1.67,15.46,5,4,4,13,1191.13,0,0.009139839300016299,1,Lost Cheap
16404,71.14,1,443.05,19.26,6.07,23,23,157,1,0.0,1.0,53.46,3,1,2,6,443.05,0,0.030840273987260147,1,Lost Cheap
15185,71.18,1,310.62,14.79,15.75,21,21,666,1,0.0,1.0,53.46,3,1,2,6,310.62,0,0.03672505000660364,1,Lost Cheap
15993,9.32,7,2797.57,5.07,4.94,552,335,2051,3,35.77,2.33,5.96,5,5,5,15,2797.57,0,0.00632619123110345,1,Lost Cheap
14158,41.13,1,507.66,12.38,6.02,41,41,781,1,0.0,1.0,53.46,3,1,3,7,507.66,0,0.05922080907130185,1,Lost Cheap
17197,30.33,1,1013.01,34.93,26.55,29,29,191,1,0.0,1.0,53.46,4,1,4,9,1013.01,0,0.0301744121517449,1,Lost Cheap
12683,5.08,15,8476.57,24.64,25.06,344,177,4987,9,361.25,1.67,25.8,5,5,5,15,2258.69,0,0.0,4,At-Risk
17179,179.06,3,711.79,8.9,9.8,80,56,290,3,183.1,1.0,91.55,2,3,3,8,0.0,1,0.7882200075598251,0,Promising
14825,4.28,12,2226.91,18.4,12.45,121,82,991,10,364.96,1.2,33.18,5,5,5,15,887.54,0,8.771929824561403e-05,1,Lost Cheap
14443,54.34,4,1420.2,15.27,4.66,93,84,938,4,314.96,1.0,104.99,3,4,4,11,428.68,0,0.004124641588793715,1,Lost Cheap
17802,83.14,3,1285.04,9.18,10.27,140,102,752,3,290.05,1.0,145.03,2,3,4,9,652.62,0,0.24120869510959475,1,Lost Cheap
17094,323.22,1,302.0,21.57,19.03,14,14,152,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9744222838372636,0,Promising
15579,69.23,2,348.6,6.84,4.76,51,45,120,2,245.03,1.0,245.03,3,2,2,7,149.0,0,0.024455802274519343,1,Lost Cheap
18093,94.11,4,2106.52,58.51,39.48,36,31,1392,3,209.14,1.33,69.71,2,4,5,11,89.64,1,0.6130971126422553,1,Lost Cheap
17667,67.16,5,2055.51,17.72,6.79,116,85,1033,4,232.21,1.25,58.05,3,4,4,11,304.5,0,0.024583877345426868,1,Lost Cheap
14232,43.3,5,2048.07,17.81,9.15,115,81,1941,5,221.93,1.0,55.48,3,4,4,11,474.74,0,0.03681532857987057,1,Lost Cheap
12878,237.22,2,854.99,18.19,6.62,47,38,547,2,29.96,1.0,29.96,1,2,3,6,0.0,1,0.8787349512706871,0,Promising
17949,1.98,45,58510.48,835.86,799.8,70,29,30546,13,370.23,3.46,8.41,5,5,5,15,10835.52,0,0.0,4,At-Risk
14152,76.23,2,621.29,12.68,6.88,49,47,711,2,158.88,1.0,158.88,2,2,3,7,306.78000000000003,0,0.7569132976171923,1,Lost Cheap
18221,23.15,5,1041.61,16.28,6.45,64,59,791,5,189.02,1.0,47.26,4,4,4,12,334.75,0,0.013548772314110787,1,Lost Cheap
17930,36.33,5,1740.48,44.63,51.22,39,26,1594,5,203.78,1.0,50.95,3,4,4,11,1046.34,0,0.023469655633363118,1,Lost Cheap
12809,178.31,1,489.31,19.57,14.57,25,25,220,1,0.0,1.0,53.46,2,1,2,5,0.0,1,0.8029084704547125,0,Promising
14284,31.42,2,595.25,18.6,4.5,32,24,161,2,55.8,1.0,55.8,4,2,3,9,595.25,0,0.039677341309332044,1,Lost Cheap
18192,72.35,1,957.97,21.29,15.04,45,45,339,1,0.0,1.0,53.46,2,1,4,7,957.97,0,0.48393843129960556,1,Lost Cheap
13960,22.12,2,230.22,19.19,16.87,12,11,142,2,50.12,1.0,50.12,4,2,1,7,230.22,0,0.05563502390563174,1,Lost Cheap
18096,12.23,3,911.15,4.28,4.65,213,157,825,2,52.03,1.5,26.02,5,3,3,11,911.15,0,0.014006522448770294,1,Lost Cheap
13351,67.23,1,373.94,23.37,8.33,16,16,117,1,0.0,1.0,53.46,3,1,2,6,373.94,0,0.049863159962823506,1,Lost Cheap
16243,34.24,2,409.1,8.02,11.78,51,49,110,2,21.02,1.0,21.02,3,2,2,7,409.1,0,0.06465285463053418,1,Lost Cheap
13845,65.41,1,312.98,34.78,27.19,9,9,182,1,0.0,1.0,53.46,3,1,2,6,312.98,0,0.04349515399103091,1,Lost Cheap
16127,40.18,1,656.25,16.41,6.07,40,40,323,1,0.0,1.0,53.46,3,1,3,7,656.25,0,0.05038977623228703,1,Lost Cheap
17219,32.29,1,114.23,4.57,3.2,25,24,89,1,0.0,1.0,53.46,4,1,1,6,114.23,0,0.026726083313693604,1,Lost Cheap
13926,24.21,1,223.85,20.35,11.63,11,11,104,1,0.0,1.0,53.46,4,1,1,6,223.85000000000002,0,0.023776687668210394,1,Lost Cheap
18274,31.05,1,175.92,15.99,3.09,11,11,88,1,0.0,1.0,53.46,4,1,1,6,175.92,0,0.028634626467808334,1,Lost Cheap
13521,2.19,3,1093.65,2.51,2.39,436,313,736,2,8.95,1.5,4.48,5,3,4,12,1093.65,0,0.009675746953169273,1,Lost Cheap
14578,4.04,1,168.63,7.03,6.04,24,24,240,1,0.0,1.0,53.46,5,1,1,7,168.63,0,0.01146983338975247,1,Lost Cheap
17198,24.32,3,692.22,7.21,9.32,96,89,357,2,347.82,1.5,173.91,4,3,3,10,170.56,0,0.004849880570446613,1,Lost Cheap
13230,5.1,14,2806.97,4.59,6.17,611,393,1665,9,360.86,1.56,27.76,5,5,5,15,572.79,0,0.00025,1,Lost Cheap
13859,327.09,1,201.16,7.18,4.39,28,27,129,1,0.0,1.0,53.46,1,1,1,3,0.0,1,0.9754755764967463,0,Promising
12559,311.35,2,561.71,26.75,24.54,21,21,283,2,8.98,1.0,8.98,1,2,3,6,0.0,1,0.9210299868704142,0,Promising
16511,22.32,3,950.26,5.62,5.12,169,135,417,3,244.97,1.0,122.49,4,3,4,11,367.56,0,0.00908667875535091,1,Lost Cheap
16063,261.14,1,335.32,14.58,2.91,23,23,262,1,0.0,1.0,53.46,1,1,2,4,0.0,1,0.9797423023917823,0,Promising
15424,255.22,2,383.34,22.55,14.13,17,17,554,1,0.0,2.0,0.0,1,2,2,5,0.0,1,0.9722789815868128,0,Promising
